,Long,Short
2025-06-01 00:00:00+02:00,248.52,248.52
2025-06-01 00:15:00+02:00,104.66,104.66
2025-06-01 00:30:00+02:00,99.21,99.21
2025-06-01 00:45:00+02:00,97.02,97.02
2025-06-01 01:00:00+02:00,23.89,23.89
2025-06-01 01:15:00+02:00,-6.74,-6.74
2025-06-01 01:30:00+02:00,-6.01,-6.01
2025-06-01 01:45:00+02:00,29.33,29.33
2025-06-01 02:00:00+02:00,39.7,39.7
2025-06-01 02:15:00+02:00,36.79,36.79
2025-06-01 02:30:00+02:00,17.02,17.02
2025-06-01 02:45:00+02:00,62.16,62.16
2025-06-01 03:00:00+02:00,74.7,74.7
2025-06-01 03:15:00+02:00,69.36,69.36
2025-06-01 03:30:00+02:00,67.76,67.76
2025-06-01 03:45:00+02:00,73.67,73.67
2025-06-01 04:00:00+02:00,88.65,88.65
2025-06-01 04:15:00+02:00,29.37,29.37
2025-06-01 04:30:00+02:00,6.72,6.72
2025-06-01 04:45:00+02:00,-5.75,-5.75
2025-06-01 05:00:00+02:00,-6.17,-6.17
2025-06-01 05:15:00+02:00,27.73,27.73
2025-06-01 05:30:00+02:00,-4.6,-4.6
2025-06-01 05:45:00+02:00,-2.53,-2.53
2025-06-01 06:00:00+02:00,72.99,72.99
2025-06-01 06:15:00+02:00,17.68,17.68
2025-06-01 06:30:00+02:00,36.38,36.38
2025-06-01 06:45:00+02:00,23.81,23.81
2025-06-01 07:00:00+02:00,38.24,38.24
2025-06-01 07:15:00+02:00,24.36,24.36
2025-06-01 07:30:00+02:00,-8.39,-8.39
2025-06-01 07:45:00+02:00,9.05,9.05
2025-06-01 08:00:00+02:00,18.14,18.14
2025-06-01 08:15:00+02:00,14.51,14.51
2025-06-01 08:30:00+02:00,19.59,19.59
2025-06-01 08:45:00+02:00,18.75,18.75
2025-06-01 09:00:00+02:00,78.02,78.02
2025-06-01 09:15:00+02:00,35.98,35.98
2025-06-01 09:30:00+02:00,30.02,30.02
2025-06-01 09:45:00+02:00,27.86,27.86
2025-06-01 10:00:00+02:00,24.47,24.47
2025-06-01 10:15:00+02:00,164.3,164.3
2025-06-01 10:30:00+02:00,4.87,4.87
2025-06-01 10:45:00+02:00,130.12,130.12
2025-06-01 11:00:00+02:00,49.62,49.62
2025-06-01 11:15:00+02:00,44.59,44.59
2025-06-01 11:30:00+02:00,86.04,86.04
2025-06-01 11:45:00+02:00,53.09,53.09
2025-06-01 12:00:00+02:00,0.7,0.7
2025-06-01 12:15:00+02:00,-1.05,-1.05
2025-06-01 12:30:00+02:00,-4.06,-4.06
2025-06-01 12:45:00+02:00,6.17,6.17
2025-06-01 13:00:00+02:00,-5.37,-5.37
2025-06-01 13:15:00+02:00,5.36,5.36
2025-06-01 13:30:00+02:00,5.74,5.74
2025-06-01 13:45:00+02:00,7.22,7.22
2025-06-01 14:00:00+02:00,-3.46,-3.46
2025-06-01 14:15:00+02:00,-3.89,-3.89
2025-06-01 14:30:00+02:00,-5.17,-5.17
2025-06-01 14:45:00+02:00,-29.21,-29.21
2025-06-01 15:00:00+02:00,-3.14,-3.14
2025-06-01 15:15:00+02:00,56.32,56.32
2025-06-01 15:30:00+02:00,180.82,180.82
2025-06-01 15:45:00+02:00,189.72,189.72
2025-06-01 16:00:00+02:00,12.74,12.74
2025-06-01 16:15:00+02:00,104.83,104.83
2025-06-01 16:30:00+02:00,46.13,46.13
2025-06-01 16:45:00+02:00,41.15,41.15
2025-06-01 17:00:00+02:00,33.46,33.46
2025-06-01 17:15:00+02:00,6.29,6.29
2025-06-01 17:30:00+02:00,15.28,15.28
2025-06-01 17:45:00+02:00,19.07,19.07
2025-06-01 18:00:00+02:00,-53.92,-53.92
2025-06-01 18:15:00+02:00,-113.25,-113.25
2025-06-01 18:30:00+02:00,-126.91,-126.91
2025-06-01 18:45:00+02:00,-40.14,-40.14
2025-06-01 19:00:00+02:00,508.71,508.71
2025-06-01 19:15:00+02:00,375.79,375.79
2025-06-01 19:30:00+02:00,149.72,149.72
2025-06-01 19:45:00+02:00,166.26,166.26
2025-06-01 20:00:00+02:00,0.0,0.0
2025-06-01 20:15:00+02:00,65.37,65.37
2025-06-01 20:30:00+02:00,38.54,38.54
2025-06-01 20:45:00+02:00,69.64,69.64
2025-06-01 21:00:00+02:00,51.06,51.06
2025-06-01 21:15:00+02:00,41.41,41.41
2025-06-01 21:30:00+02:00,56.11,56.11
2025-06-01 21:45:00+02:00,43.93,43.93
2025-06-01 22:00:00+02:00,122.79,122.79
2025-06-01 22:15:00+02:00,112.44,112.44
2025-06-01 22:30:00+02:00,95.88,95.88
2025-06-01 22:45:00+02:00,39.57,39.57
2025-06-01 23:00:00+02:00,46.5,46.5
2025-06-01 23:15:00+02:00,40.85,40.85
2025-06-01 23:30:00+02:00,86.47,86.47
2025-06-01 23:45:00+02:00,109.38,109.38
2025-06-02 00:00:00+02:00,180.83,180.83
2025-06-02 00:15:00+02:00,164.05,164.05
2025-06-02 00:30:00+02:00,119.98,119.98
2025-06-02 00:45:00+02:00,86.66,86.66
2025-06-02 01:00:00+02:00,104.14,104.14
2025-06-02 01:15:00+02:00,93.98,93.98
2025-06-02 01:30:00+02:00,93.79,93.79
2025-06-02 01:45:00+02:00,83.66,83.66
2025-06-02 02:00:00+02:00,89.13,89.13
2025-06-02 02:15:00+02:00,83.78,83.78
2025-06-02 02:30:00+02:00,92.17,92.17
2025-06-02 02:45:00+02:00,82.8,82.8
2025-06-02 03:00:00+02:00,41.38,41.38
2025-06-02 03:15:00+02:00,87.93,87.93
2025-06-02 03:30:00+02:00,115.73,115.73
2025-06-02 03:45:00+02:00,176.9,176.9
2025-06-02 04:00:00+02:00,78.24,78.24
2025-06-02 04:15:00+02:00,189.65,189.65
2025-06-02 04:30:00+02:00,167.51,167.51
2025-06-02 04:45:00+02:00,168.32,168.32
2025-06-02 05:00:00+02:00,36.77,36.77
2025-06-02 05:15:00+02:00,92.81,92.81
2025-06-02 05:30:00+02:00,118.07,118.07
2025-06-02 05:45:00+02:00,110.69,110.69
2025-06-02 06:00:00+02:00,19.17,19.17
