,Long,Short
2025-06-01 00:00:00+02:00,13.75,15.05
2025-06-01 00:15:00+02:00,35.51,38.85
2025-06-01 00:30:00+02:00,-196.07,-179.19
2025-06-01 00:45:00+02:00,-367.94,-336.26
2025-06-01 01:00:00+02:00,-15.71,-14.35
2025-06-01 01:15:00+02:00,-384.59,-351.47
2025-06-01 01:30:00+02:00,-498.05,-455.15
2025-06-01 01:45:00+02:00,-242.27,-221.41
2025-06-01 02:00:00+02:00,10.17,11.13
2025-06-01 02:15:00+02:00,21.12,23.12
2025-06-01 02:30:00+02:00,15.03,16.45
2025-06-01 02:45:00+02:00,-316.52,-289.26
2025-06-01 03:00:00+02:00,6.12,6.7
2025-06-01 03:15:00+02:00,-114.39,-104.53
2025-06-01 03:30:00+02:00,-315.29,-288.13
2025-06-01 03:45:00+02:00,-343.73,-314.13
2025-06-01 04:00:00+02:00,17.39,19.03
2025-06-01 04:15:00+02:00,19.02,20.82
2025-06-01 04:30:00+02:00,28.87,31.59
2025-06-01 04:45:00+02:00,28.87,31.59
2025-06-01 05:00:00+02:00,28.87,31.59
2025-06-01 05:15:00+02:00,28.87,31.59
2025-06-01 05:30:00+02:00,28.87,31.59
2025-06-01 05:45:00+02:00,28.87,31.59
2025-06-01 06:00:00+02:00,28.87,31.59
2025-06-01 06:15:00+02:00,28.87,31.59
2025-06-01 06:30:00+02:00,28.87,31.59
2025-06-01 06:45:00+02:00,28.87,31.59
2025-06-01 07:00:00+02:00,-204.74,-187.1
2025-06-01 07:15:00+02:00,4.6,5.04
2025-06-01 07:30:00+02:00,17.26,18.88
2025-06-01 07:45:00+02:00,28.87,31.59
2025-06-01 08:00:00+02:00,18.06,19.76
2025-06-01 08:15:00+02:00,17.79,19.47
2025-06-01 08:30:00+02:00,17.94,19.64
2025-06-01 08:45:00+02:00,17.15,18.77
2025-06-01 09:00:00+02:00,15.52,16.98
2025-06-01 09:15:00+02:00,18.12,19.82
2025-06-01 09:30:00+02:00,19.93,21.81
2025-06-01 09:45:00+02:00,-0.66,-0.6
2025-06-01 10:00:00+02:00,-5.21,-4.77
2025-06-01 10:15:00+02:00,6.12,6.7
2025-06-01 10:30:00+02:00,1.73,1.89
2025-06-01 10:45:00+02:00,23.48,25.7
2025-06-01 11:00:00+02:00,7.2,7.88
2025-06-01 11:15:00+02:00,-9.72,-8.88
2025-06-01 11:30:00+02:00,130.45,142.75
2025-06-01 11:45:00+02:00,-9.08,-8.3
2025-06-01 12:00:00+02:00,15.97,17.47
2025-06-01 12:15:00+02:00,75.94,83.1
2025-06-01 12:30:00+02:00,68.95,75.45
2025-06-01 12:45:00+02:00,24.04,26.3
2025-06-01 13:00:00+02:00,23.51,25.73
2025-06-01 13:15:00+02:00,11.08,12.12
2025-06-01 13:30:00+02:00,4.29,4.69
2025-06-01 13:45:00+02:00,-18.94,-17.3
2025-06-01 14:00:00+02:00,-9.71,-8.87
2025-06-01 14:15:00+02:00,-14.31,-13.07
2025-06-01 14:30:00+02:00,219.0,239.64
2025-06-01 14:45:00+02:00,263.83,288.69
2025-06-01 15:00:00+02:00,-8.88,-8.12
2025-06-01 15:15:00+02:00,-8.83,-8.07
2025-06-01 15:30:00+02:00,-9.06,-8.28
2025-06-01 15:45:00+02:00,-9.41,-8.6
2025-06-01 16:00:00+02:00,4.56,4.98
2025-06-01 16:15:00+02:00,-7.61,-6.95
2025-06-01 16:30:00+02:00,-8.22,-7.52
2025-06-01 16:45:00+02:00,-9.77,-8.93
2025-06-01 17:00:00+02:00,-8.39,-7.67
2025-06-01 17:15:00+02:00,-6.75,-6.17
2025-06-01 17:30:00+02:00,46.8,51.22
2025-06-01 17:45:00+02:00,31.73,34.71
2025-06-01 18:00:00+02:00,37.0,40.48
2025-06-01 18:15:00+02:00,22.41,24.53
2025-06-01 18:30:00+02:00,25.54,27.94
2025-06-01 18:45:00+02:00,33.56,36.72
2025-06-01 19:00:00+02:00,95.32,104.3
2025-06-01 19:15:00+02:00,72.09,78.89
2025-06-01 19:30:00+02:00,56.44,61.76
2025-06-01 19:45:00+02:00,37.93,41.51
2025-06-01 20:00:00+02:00,58.38,63.88
2025-06-01 20:15:00+02:00,59.25,64.83
2025-06-01 20:30:00+02:00,-0.45,-0.41
2025-06-01 20:45:00+02:00,95.39,104.37
2025-06-01 21:00:00+02:00,154.66,169.24
2025-06-01 21:15:00+02:00,151.46,165.74
2025-06-01 21:30:00+02:00,151.46,165.74
2025-06-01 21:45:00+02:00,151.46,165.74
2025-06-01 22:00:00+02:00,12.13,13.27
2025-06-01 22:15:00+02:00,12.13,13.27
2025-06-01 22:30:00+02:00,235.61,257.81
2025-06-01 22:45:00+02:00,4.24,4.64
2025-06-01 23:00:00+02:00,19.16,20.96
2025-06-01 23:15:00+02:00,-5.85,-5.35
2025-06-01 23:30:00+02:00,-14.65,-13.39
2025-06-01 23:45:00+02:00,-7.99,-7.31
2025-06-02 00:00:00+02:00,18.83,20.61
2025-06-02 00:15:00+02:00,-5.75,-5.25
2025-06-02 00:30:00+02:00,-1.22,-1.12
2025-06-02 00:45:00+02:00,-40.4,-36.92
2025-06-02 01:00:00+02:00,18.87,20.65
2025-06-02 01:15:00+02:00,6.2,6.78
2025-06-02 01:30:00+02:00,22.84,25.0
2025-06-02 01:45:00+02:00,20.8,22.76
2025-06-02 02:00:00+02:00,28.57,31.27
2025-06-02 02:15:00+02:00,19.98,21.86
2025-06-02 02:30:00+02:00,23.54,25.76
2025-06-02 02:45:00+02:00,7.14,7.82
2025-06-02 03:00:00+02:00,-36.22,-33.1
2025-06-02 03:15:00+02:00,-1.78,-1.62
2025-06-02 03:30:00+02:00,-1.78,-1.62
2025-06-02 03:45:00+02:00,278.64,304.9
2025-06-02 04:00:00+02:00,59.38,64.98
2025-06-02 04:15:00+02:00,123.87,135.55
2025-06-02 04:30:00+02:00,231.25,253.05
2025-06-02 04:45:00+02:00,24.9,27.24
2025-06-02 05:00:00+02:00,6.19,6.77
2025-06-02 05:15:00+02:00,-1.78,-1.62
2025-06-02 05:30:00+02:00,44.17,48.33
2025-06-02 05:45:00+02:00,37.48,41.02
2025-06-02 06:00:00+02:00,20.12,22.02
2025-06-02 06:15:00+02:00,18.26,19.98
2025-06-02 06:30:00+02:00,30.0,32.82
2025-06-02 06:45:00+02:00,23.05,25.23
2025-06-02 07:00:00+02:00,17.08,18.68
2025-06-02 07:15:00+02:00,34.48,37.72
2025-06-02 07:30:00+02:00,38.05,41.63
2025-06-02 07:45:00+02:00,30.09,32.93
2025-06-02 08:00:00+02:00,27.15,29.71
2025-06-02 08:15:00+02:00,40.53,44.35
2025-06-02 08:30:00+02:00,15.77,17.25
2025-06-02 08:45:00+02:00,15.77,17.25
2025-06-02 09:00:00+02:00,60.45,66.15
2025-06-02 09:15:00+02:00,230.04,251.72
2025-06-02 09:30:00+02:00,185.7,203.2
2025-06-02 09:45:00+02:00,214.96,235.22
2025-06-02 10:00:00+02:00,243.08,265.98
2025-06-02 10:15:00+02:00,68.31,74.75
2025-06-02 10:30:00+02:00,61.53,67.33
2025-06-02 10:45:00+02:00,6.5,7.12
2025-06-02 11:00:00+02:00,-23.38,-21.36
2025-06-02 11:15:00+02:00,18.81,20.59
2025-06-02 11:30:00+02:00,-12.29,-11.23
2025-06-02 11:45:00+02:00,13.9,15.2
2025-06-02 12:00:00+02:00,3.75,4.11
2025-06-02 12:15:00+02:00,4.04,4.42
2025-06-02 12:30:00+02:00,5.33,5.83
2025-06-02 12:45:00+02:00,16.5,18.06
2025-06-02 13:00:00+02:00,12.2,13.36
2025-06-02 13:15:00+02:00,24.93,27.27
2025-06-02 13:30:00+02:00,19.75,21.61
2025-06-02 13:45:00+02:00,14.98,16.4
2025-06-02 14:00:00+02:00,55.22,60.42
2025-06-02 14:15:00+02:00,50.62,55.39
2025-06-02 14:30:00+02:00,85.57,93.63
2025-06-02 14:45:00+02:00,80.04,87.58
2025-06-02 15:00:00+02:00,143.21,156.71
2025-06-02 15:15:00+02:00,40.47,44.29
2025-06-02 15:30:00+02:00,70.77,77.43
2025-06-02 15:45:00+02:00,119.25,130.49
2025-06-02 16:00:00+02:00,327.57,358.45
2025-06-02 16:15:00+02:00,358.67,392.47
2025-06-02 16:30:00+02:00,341.65,373.85
2025-06-02 16:45:00+02:00,120.58,131.94
2025-06-02 17:00:00+02:00,106.98,117.06
2025-06-02 17:15:00+02:00,86.05,94.15
2025-06-02 17:30:00+02:00,90.96,99.54
2025-06-02 17:45:00+02:00,60.68,66.4
2025-06-02 18:00:00+02:00,22.57,24.69
2025-06-02 18:15:00+02:00,17.18,18.8
2025-06-02 18:30:00+02:00,16.74,18.32
2025-06-02 18:45:00+02:00,88.38,96.7
2025-06-02 19:00:00+02:00,13.88,15.18
2025-06-02 19:15:00+02:00,269.76,295.18
2025-06-02 19:30:00+02:00,254.55,278.53
2025-06-02 19:45:00+02:00,234.85,256.99
2025-06-02 20:00:00+02:00,82.81,90.61
2025-06-02 20:15:00+02:00,86.56,94.72
2025-06-02 20:30:00+02:00,64.55,70.63
2025-06-02 20:45:00+02:00,1.01,1.11
2025-06-02 21:00:00+02:00,237.85,260.27
2025-06-02 21:15:00+02:00,232.3,254.2
2025-06-02 21:30:00+02:00,246.06,269.24
2025-06-02 21:45:00+02:00,253.88,277.8
2025-06-02 22:00:00+02:00,70.92,77.6
2025-06-02 22:15:00+02:00,71.48,78.22
2025-06-02 22:30:00+02:00,97.48,106.66
2025-06-02 22:45:00+02:00,121.07,132.49
2025-06-02 23:00:00+02:00,99.39,108.75
2025-06-02 23:15:00+02:00,110.47,120.89
2025-06-02 23:30:00+02:00,114.8,125.62
2025-06-02 23:45:00+02:00,-25.51,-23.31
2025-06-03 00:00:00+02:00,67.86,74.26
2025-06-03 00:15:00+02:00,52.74,57.72
